"egoid","completed_6","completed_5","completed_4","completed_3","completed_2","completed_1","euthanasia_6","euthanasia_5","euthanasia_4","euthanasia_3","euthanasia_2","euthanasia_1","fssocsec_6","fssocsec_5","fssocsec_4","fssocsec_3","fssocsec_2","fssocsec_1","fswelfare_6","fswelfare_5","fswelfare_4","fswelfare_3","fswelfare_2","fswelfare_1","jobguar_6","jobguar_5","jobguar_4","jobguar_3","jobguar_2","jobguar_1","marijuana_6","marijuana_5","marijuana_4","marijuana_3","marijuana_2","marijuana_1","toomucheqrights_6","toomucheqrights_5","toomucheqrights_4","toomucheqrights_3","toomucheqrights_2","toomucheqrights_1"
97900,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92782,"","","","","","2011-08-15 17:17:00",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
96362,"","","","","","2011-08-16 00:08:00",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
90281,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91257,"","","","","","2011-08-16 13:50:00",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97942,"","","","","","2011-08-17 12:15:00",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
44167,"2013-06-03 16:34:11","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31583,"2013-05-06 12:04:40","2013-01-20 21:25:55","2012-08-20 13:38:49","2012-05-14 20:09:09","2012-01-29 19:04:30","2011-08-19 02:55:00",0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,NA,1,1
10281,"2013-05-04 15:24:30","2013-01-28 00:03:03","2012-09-09 12:31:26","2012-05-14 15:17:15","2012-02-10 18:15:38","2011-08-15 21:36:00",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,1,1,1,1,NA,0,1,1,0,0,0,0,0,1,1,NA,1,1
31372,"2013-05-10 20:12:08","2013-01-29 16:04:36","2012-09-04 18:58:41","2012-05-14 22:32:43","2012-02-14 16:14:15","2011-08-20 08:45:00",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,0,1,NA,NA,NA,NA,NA
