"egoid","completed_6","completed_5","completed_4","completed_3","completed_2","completed_1","euthanasia_6","euthanasia_5","euthanasia_4","euthanasia_3","euthanasia_2","euthanasia_1","fssocsec_6","fssocsec_5","fssocsec_4","fssocsec_3","fssocsec_2","fssocsec_1","fswelfare_6","fswelfare_5","fswelfare_4","fswelfare_3","fswelfare_2","fswelfare_1","jobguar_6","jobguar_5","jobguar_4","jobguar_3","jobguar_2","jobguar_1","marijuana_6","marijuana_5","marijuana_4","marijuana_3","marijuana_2","marijuana_1","toomucheqrights_6","toomucheqrights_5","toomucheqrights_4","toomucheqrights_3","toomucheqrights_2","toomucheqrights_1"
97900,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
92782,"","","","","","2011-08-15 17:17:00","","","","","","Yes","","","","","","Be kept the same","","","","","","Decrease","","","","","","6","","","","","","Legal","","","","","","Agree"
96362,"","","","","","2011-08-16 00:08:00","","","","","","Yes","","","","","","Increase","","","","","","Increase","","","","","","3","","","","","","Legal","","","","","","Disagree"
90281,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
91257,"","","","","","2011-08-16 13:50:00","","","","","","Yes","","","","","","Increase","","","","","","Decrease","","","","","","5","","","","","","Not Sure","","","","","","Neither agree nor disagree"
97942,"","","","","","2011-08-17 12:15:00","","","","","","Yes","","","","","","Not sure","","","","","","Not sure","","","","","","5","","","","","","Legal","","","","","","Agree"
44167,"2013-06-03 16:34:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31583,"2013-05-06 12:04:40","2013-01-20 21:25:55","2012-08-20 13:38:49","2012-05-14 20:09:09","2012-01-29 19:04:30","2011-08-19 02:55:00","No","No","No","No","No","No","Be kept the same","Increase","Not sure","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Decrease","Decrease","Not sure","Be kept the same","6","5","5","5","5","5","Legal","Not Legal","Legal","Not Legal","Legal","Not Legal","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree"
10281,"2013-05-04 15:24:30","2013-01-28 00:03:03","2012-09-09 12:31:26","2012-05-14 15:17:15","2012-02-10 18:15:38","2011-08-15 21:36:00","No","No","No","No","No","No","Decrease","Decrease","Be kept the same","Decrease","Be kept the same","Be kept the same","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","6","6","6","6","4","3","Legal","Legal","Not Legal","Not Legal","Not Legal","Not Legal","Disagree","Agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree"
31372,"2013-05-10 20:12:08","2013-01-29 16:04:36","2012-09-04 18:58:41","2012-05-14 22:32:43","2012-02-14 16:14:15","2011-08-20 08:45:00","Yes","Yes","Yes","Yes","Yes","Yes","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","5","5","6","6","5","6","Legal","Legal","Legal","Legal","Not Sure","Not Legal","Agree","Neither agree nor disagree","Not Sure","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
44947,"2013-05-02 13:09:28","2013-02-02 17:02:19","2012-08-27 21:26:55","2012-05-14 22:32:49","2012-01-29 20:25:38","2011-08-22 19:48:00","Yes","Yes","Yes","No","Not sure","No","Decrease","Decrease","Decrease","Decrease","Decrease","Be kept the same","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Each Person on Own","Each Person on Own","Each Person on Own","Each Person on Own","Each Person on Own","Each Person on Own","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree"
77023,"","2013-02-05 00:40:58","2012-09-13 18:41:59","2012-06-10 22:53:13","2012-02-29 02:31:20","2011-08-16 00:08:00","","Not sure","Yes","Yes","Yes","Yes","","Not sure","Not sure","Not sure","Increase","Be kept the same","","Not sure","Not sure","Not sure","Be kept the same","Be kept the same","","3","3","5","","2","","Not Sure","Legal","Not Legal","Not Sure","Not Legal","","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree"
11023,"","2013-02-04 19:16:51","2012-09-14 15:37:45","2012-05-17 22:40:46","2012-02-11 15:40:27","2011-08-24 11:16:00","","Not sure","Not sure","Not sure","Not sure","Not sure","","Decrease","Not sure","Decrease","Be kept the same","Be kept the same","","Decrease","Decrease","Decrease","Decrease","Decrease","","6","5","6","6","5","","Not Legal","Not Sure","Not Sure","Not Legal","Not Legal","","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
35227,"2013-05-12 21:30:56","2013-01-19 16:36:13","2012-08-24 13:31:56","","2012-02-06 04:10:42","2011-08-16 18:45:00","Not sure","Yes","Yes","","Yes","Yes","Not sure","Be kept the same","Be kept the same","","Not sure","Be kept the same","Not sure","Be kept the same","Decrease","","Not sure","Decrease","","5","6","","5","5","Not Legal","Not Legal","Not Legal","","Not Legal","Not Legal","Neither agree nor disagree","Strongly diisagree","Neither agree nor disagree","","Disagree","Disagree"
30076,"2013-05-11 10:49:43","2013-01-31 10:18:48","2012-08-26 09:42:08","2012-05-18 09:58:35","2012-02-05 23:58:34","2011-08-24 21:54:00","Not sure","Yes","No","No","Not sure","Yes","Be kept the same","Be kept the same","Be kept the same","Be kept the same","Not sure","Be kept the same","Increase","Be kept the same","Be kept the same","Be kept the same","Not sure","Be kept the same","3","3","5","4","3","6","Not Legal","Not Sure","Not Sure","Not Legal","Not Legal","Not Legal","Disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","Disagree"
63063,"2013-05-12 20:44:43","2013-02-01 17:10:14","2012-09-04 01:25:26","2012-05-18 16:38:05","2012-02-14 00:03:51","2011-08-15 16:48:00","Yes","Yes","Yes","Yes","Yes","Yes","Not sure","Be kept the same","Be kept the same","Decrease","Be kept the same","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","Decrease","5","3","5","5","5","5","Legal","Legal","Legal","Legal","Legal","Legal","Disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Disagree"
71518,"","2013-02-02 15:39:26","2012-08-20 16:48:37","2012-05-17 18:19:55","2012-01-28 14:59:53","2011-08-22 23:40:00","","Yes","Yes","Yes","Yes","Yes","","Not sure","Not sure","Not sure","Not sure","Be kept the same","","Not sure","Not sure","Decrease","Not sure","Be kept the same","","5","5","Govt. See to Job/Living","5","5","","Not Legal","Not Legal","Not Legal","Not Legal","Not Legal","","Agree","Neither agree nor disagree","Not Sure","Neither agree nor disagree","Disagree"
86009,"2013-05-12 23:51:14","2013-01-24 15:58:02","2012-08-20 09:20:46","","2012-02-23 11:22:14","2011-08-15 15:46:00","No","Not sure","No","","No","No","Be kept the same","Not sure","Decrease","","Decrease","Not sure","Be kept the same","Not sure","Decrease","","Be kept the same","Not sure","5","","6","","6","","Not Legal","Not Legal","Not Legal","","Not Legal","Not Legal","Disagree","Not Sure","Disagree","","Disagree","Neither agree nor disagree"
47230,"","","","","2012-01-28 20:50:56","2011-09-06 20:07:00","","","","","No","No","","","","","Decrease","Decrease","","","","","Decrease","Decrease","","","","","Each Person on Own","5","","","","","Not Legal","Not Legal","","","","","Strongly agree","Strongly agree"
