,StudentID,SurveyDate,SurveyNr,Question,OpinionSurvey,OpinionSimulation,is_sim_survey
0,85596,2012-01-28 13:38:17,2,marijuana,0,2,0
1,25323,2012-01-28 14:50:29,2,marijuana,2,0,0
2,63188,2012-01-28 15:15:52,2,marijuana,0,2,0
3,22931,2012-01-28 15:46:44,2,marijuana,0,0,1
4,75261,2012-01-28 17:50:43,2,marijuana,1,1,1
5,79877,2012-01-28 13:39:18,2,marijuana,0,2,0
6,37617,2012-01-28 21:34:35,2,marijuana,2,0,0
7,88133,2012-01-28 22:38:45,2,marijuana,2,0,0
8,57637,2012-01-28 15:59:08,2,marijuana,1,1,1
9,29914,2012-01-28 12:53:52,2,marijuana,1,1,1
10,73303,2012-01-29 14:39:39,2,marijuana,1,2,0
11,22617,2012-01-28 14:40:46,2,marijuana,1,2,0
12,46021,2012-01-28 18:03:33,2,marijuana,1,1,1
13,59367,2012-01-29 17:48:23,2,marijuana,0,0,1
14,58909,2012-01-29 23:00:27,2,marijuana,1,1,1
15,77291,2012-01-29 21:06:05,2,marijuana,1,2,0
16,89827,2012-01-29 21:14:39,2,marijuana,1,1,1
17,66754,2012-01-30 18:21:27,2,marijuana,1,2,0
18,10060,2012-01-29 21:03:14,2,marijuana,1,0,0
19,51722,2012-01-30 21:59:23,2,marijuana,1,0,0
20,49294,2012-01-29 15:36:17,2,marijuana,0,0,1
21,19844,2012-02-03 09:31:19,2,marijuana,0,1,0
22,72746,2012-02-03 12:45:08,2,marijuana,1,1,1
23,45539,2012-02-03 11:05:51,2,marijuana,0,0,1
24,78911,2012-02-03 22:45:48,2,marijuana,2,0,0
25,45945,2012-02-03 13:16:48,2,marijuana,1,1,1
26,16495,2012-01-29 13:46:30,2,marijuana,1,2,0
27,71700,2012-02-03 18:26:43,2,marijuana,2,0,0
28,86727,2012-02-05 16:44:00,2,marijuana,0,0,1
29,25947,2012-02-05 22:40:36,2,marijuana,0,0,1
30,40997,2012-02-06 02:19:09,2,marijuana,0,2,0
31,30076,2012-02-05 23:58:34,2,marijuana,0,0,1
32,15071,2012-02-05 23:27:03,2,marijuana,1,1,1
33,18394,2012-02-07 00:53:57,2,marijuana,0,0,1
34,82282,2012-02-03 13:22:52,2,marijuana,1,0,0
35,71627,2012-02-05 20:05:34,2,marijuana,1,1,1
36,86352,2012-02-05 13:20:00,2,marijuana,0,2,0
37,10841,2012-02-06 16:32:03,2,marijuana,0,2,0
38,53275,2012-02-06 03:20:23,2,marijuana,2,1,0
39,13799,2012-02-08 22:41:59,2,marijuana,0,0,1
40,46160,2012-02-05 21:16:47,2,marijuana,2,0,0
41,44520,2012-01-30 00:14:41,2,marijuana,1,1,1
